120,146
163,139
136,108
183,119
151,192
164,189
179,144
148,125
155,104
105,200
131,104
199,113
148,124
196,147
190,185
144,181
200,163
141,135
117,150
123,151
134,162
136,158
182,160
103,103
181,143
102,103
163,132
147,103
161,133
198,154
122,146
156,148
169,136
175,166
131,141
107,192
160,103
103,141
131,134
165,145
189,109
122,138
148,183
113,180
101,100
131,140
173,138
179,110
186,156
195,190
172,145
175,109
124,165
161,122
101,174
150,198
198,115
144,145
109,134
120,154
194,118
115,156
122,113
156,197
169,102
122,138
180,142
122,172
181,164
166,115
191,140
155,150
184,194
195,168
113,164
200,108
177,174
121,192
107,127
152,185
140,199
120,151
133,159
131,142
111,104
142,194
166,197
166,196
187,174
164,100
169,145
105,129
175,147
194,101
101,115
123,194
191,115
139,177
194,120
186,130
369,390
444,465
424,445
530,395
431,439
390,521
422,497
445,388
404,429
414,352
526,469
499,407
483,399
514,475
536,431
514,358
412,379
360,501
394,492
472,447
510,428
476,484
395,479
437,506
405,438
374,443
528,518
525,439
467,381
444,371
506,419
509,550
364,534
536,481
450,536
495,422
444,543
390,410
486,512
521,519
407,460
478,382
424,376
453,452
523,381
454,504
411,522
542,537
522,496
361,381
505,373
463,412
539,505
465,459
510,533
450,539
417,467
397,453
372,412
406,473
494,485
396,465
460,492
515,352
402,450
542,525
480,373
498,468
510,439
494,471
472,491
442,444
466,396
419,470
529,423
507,513
471,540
469,386
386,457
487,523
450,406
412,526
468,383
531,512
536,386
546,472
475,380
446,533
509,358
517,541
425,513
407,485
391,399
502,479
474,368
353,476
530,484
365,541
526,402
533,354
904,952
941,969
804,940
895,880
827,977
939,930
834,893
960,940
803,906
983,961
819,967
810,902
805,918
961,939
915,845
865,925
948,811
916,948
831,859
895,964
933,951
995,873
896,840
871,927
971,848
962,962
817,872
927,963
806,928
939,883
825,874
951,945
832,1000
949,809
838,944
975,952
962,946
952,852
833,987
828,908
951,812
856,821
841,945
932,940
877,849
919,832
993,974
867,816
821,903
824,917
959,847
884,993
975,961
837,809
938,952
832,862
910,949
884,907
848,828
821,852
918,975
898,898
850,985
862,865
853,937
859,964
903,803
948,986
852,966
952,978
841,921
842,832
954,991
986,985
923,800
831,803
851,916
938,933
827,841
897,886
887,878
969,873
880,830
822,939
840,928
925,903
945,915
823,812
910,834
942,949
999,861
868,894
842,821
855,814
925,863
998,844
864,834
992,956
866,887
809,967
1392,1495
1348,1379
1302,1440
1414,1441
1419,1323
1463,1367
1317,1382
1320,1417
1383,1417
1394,1362
1450,1349
1449,1488
1494,1416
1407,1346
1474,1491
1363,1471
1462,1374
1345,1371
1401,1300
1495,1315
1367,1495
1439,1425
1468,1335
1419,1323
1383,1497
1301,1453
1462,1331
1435,1406
1393,1442
1362,1416
1454,1449
1464,1459
1343,1471
1313,1460
1498,1331
1318,1471
1347,1372
1499,1332
1359,1398
1474,1364
1434,1390
1341,1317
1338,1421
1430,1357
1362,1302
1437,1437
1407,1498
1384,1452
1312,1316
1406,1469
1301,1489
1452,1339
1497,1429
1338,1449
1478,1471
1327,1405
1314,1438
1405,1442
1403,1374
1434,1486
1459,1353
1473,1496
1431,1452
1464,1478
1412,1362
1440,1413
1368,1419
1380,1459
1469,1300
1357,1344
1476,1372
1467,1367
1327,1376
1367,1483
1365,1497
1406,1358
1303,1420
1436,1455
1322,1368
1436,1353
1388,1304
1392,1333
1433,1381
1456,1421
1381,1408
1406,1448
1393,1313
1306,1486
1385,1444
1483,1353
1431,1469
1393,1498
1343,1332
1350,1396
1457,1311
1309,1445
1328,1383
1314,1447
1303,1404
1382,1314
2358,2425
2277,2233
2128,2017
2134,2083
2131,2486
2105,2341
2475,2166
2202,2210
2161,2378
2398,2107
2097,2101
2217,2429
2012,2097
2169,2160
2081,2267
2483,2487
2163,2095
2023,2097
2109,2433
2289,2301
2363,2305
2451,2400
2011,2338
2280,2398
2165,2034
2367,2011
2255,2237
2446,2141
2039,2261
2328,2480
2259,2304
2046,2311
2465,2178
2199,2345
2329,2172
2238,2255
2151,2494
2113,2485
2414,2015
2427,2057
2295,2092
2321,2065
2443,2013
2021,2212
2328,2309
2338,2207
2385,2046
2341,2250
2004,2416
2122,2028
2199,2325
2297,2096
2042,2421
2000,2250
2412,2008
2500,2320
2429,2073
2368,2217
2279,2420
2330,2255
2089,2163
2274,2307
2498,2176
2148,2245
2432,2235
2173,2230
2190,2443
2235,2071
2090,2276
2037,2165
2262,2286
2056,2220
2444,2451
2161,2049
2406,2404
2451,2274
2279,2277
2175,2231
2260,2377
2153,2388
2127,2269
2097,2475
2469,2145
2391,2389
2083,2013
2299,2211
2110,2210
2424,2460
2059,2252
2182,2082
2456,2033
2096,2040
2316,2033
2493,2349
2348,2016
2403,2227
2009,2028
2394,2476
2286,2099
2070,2072
